quarter,zip_code,tract
2010_03,90247,06037603003
2010_03,90247,06037603004
2010_03,90247,06037603101
2010_03,90247,06037603102
2010_03,90247,06037603301
2010_03,90247,06037603302
2010_03,90247,06037603400
2010_03,90247,06037650001
2010_03,90248,06037291120
2010_03,90248,06037291130
2010_03,90248,06037291210
2010_03,90248,06037291220
2010_03,90248,06037291300
2010_03,90248,06037292000
2010_03,90248,06037540902
2010_03,90248,06037541001
2010_03,90248,06037541002
2010_03,90248,06037541100
2010_03,90248,06037543000
2010_03,90248,06037543100
2010_03,90248,06037543400
2010_03,90248,06037543501
2010_03,90248,06037603102
2010_03,90248,06037603200
2010_03,90248,06037603302
2010_03,90248,06037650101
2010_03,90248,06037650200
2010_03,90250,06037600502
2010_03,90250,06037602002
2010_03,90250,06037602103
2010_03,90250,06037602104
2010_03,90250,06037602105
2010_03,90250,06037602106
2010_03,90250,06037602200
2010_03,90250,06037602301
2010_03,90250,06037602302
2010_03,90250,06037602402
2010_03,90250,06037602403
2010_03,90250,06037602404
2010_03,90250,06037602501
2010_03,90250,06037602502
2010_03,90250,06037602503
2010_03,90250,06037602700
2010_03,90250,06037603703
2010_03,90250,06037603704
2010_03,90250,06037603800
2010_03,90250,06037603900
2010_03,90250,06037620003
2010_03,90262,06037535607
2010_03,90262,06037535802
2010_03,90262,06037540000
2010_03,90262,06037540101
2010_03,90262,06037540102
2010_03,90262,06037540201
2010_03,90262,06037540202
2010_03,90262,06037540203
2010_03,90262,06037540300
2010_03,90262,06037540501
2010_03,90262,06037540502
2010_03,90262,06037541700
2010_03,90262,06037541801
2010_03,90262,06037541802
2010_03,90262,06037542000
2010_03,90265,06037800102
2010_03,90265,06037800303
2010_03,90265,06037800326
2010_03,90265,06037800401
2010_03,90265,06037800403
2010_03,90265,06037800404
2010_03,90265,06037800501
2010_03,90265,06037800502
2010_03,90265,06111007300
2010_03,90272,06037262400
2010_03,90272,06037262500
2010_03,90272,06037262601
2010_03,90272,06037262602
2010_03,90272,06037262701
2010_03,90272,06037262702
2010_03,90272,06037262800
