year,zip_code,median_gross_rent
2019,90290,2853.0
2019,90291,2100.0
2019,90292,2968.0
2019,90293,2281.0
2019,90301,1300.0
2019,90302,1376.0
2019,90304,1180.0
2019,90305,1576.0
2019,90402,1817.0
2019,90403,1959.0
2019,90404,1702.0
2019,90405,1748.0
2019,90501,1448.0
2019,90502,1418.0
2019,90504,1563.0
2019,90710,1203.0
2019,90717,1377.0
2019,90731,1330.0
2019,90732,2034.0
2019,90744,1146.0
2019,90745,1485.0
2019,90802,1307.0
2019,90810,1175.0
2019,90813,1147.0
2019,91011,2858.0
2019,91030,1802.0
2019,91040,1411.0
2019,91042,1495.0
2019,91105,2466.0
2019,91201,1593.0
2019,91204,1456.0
2019,91205,1480.0
2019,91206,1645.0
2019,91214,1945.0
2019,91302,2498.0
2019,91303,1541.0
2019,91304,1521.0
2019,91306,1426.0
2019,91307,2787.0
2019,91311,1868.0
2019,91316,1746.0
2019,91321,1642.0
2019,91324,1744.0
2019,91325,1569.0
2019,91326,1895.0
2019,91330,
2019,91331,1436.0
2019,91335,1459.0
2019,91340,1381.0
2019,91342,1607.0
2019,91343,1389.0
2019,91344,1817.0
2019,91345,1636.0
2019,91352,1399.0
2019,91356,1624.0
2019,91364,2440.0
2019,91367,2196.0
2019,91371,
2019,91401,1403.0
2019,91402,1311.0
2019,91403,1908.0
2019,91405,1290.0
2019,91406,1448.0
2019,91411,1454.0
2019,91423,1857.0
2019,91436,2592.0
2019,91501,1684.0
2019,91504,1728.0
2019,91505,1858.0
2019,91506,1607.0
2019,91601,1538.0
2019,91602,1755.0
2019,91604,1970.0
2019,91605,1363.0
2019,91606,1308.0
2019,91607,1611.0
2019,91608,
2019,91754,1345.0
2019,91801,1453.0
2019,91803,1390.0
2020,90001,1192.0
2020,90002,1246.0
2020,90003,1252.0
2020,90004,1400.0
2020,90005,1305.0
2020,90006,1153.0
2020,90007,1201.0
2020,90008,1245.0
2020,90010,2089.0
2020,90011,1228.0
2020,90012,1706.0
2020,90013,712.0
2020,90014,1634.0
2020,90015,1832.0
2020,90016,1379.0
2020,90017,1133.0
